category,strategy,owner,priority,execution_status,wave,effort,expected_sharpe_uplift,sharpe,cagr,max_drawdown,crisis_non_negative_count,improvement_ideas
Cat M: Macro,M10-MacroSignalScoreboard,macro,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.75,0.0927,-0.2425,5,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat L: Volatility,L5-VolSpikeRecovery,vol,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.84,0.0995,-0.182,4,Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat Q: Quality Trend,Q1-QualityTrend,systematic,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.84,0.1432,-0.3675,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat R: Regime Hardening,R7-VolExplosionAlpha,macro,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.85,0.1434,-0.3273,4,Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat L: Volatility,L3-VolTermStructure,vol,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.86,0.1486,-0.2452,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat G: Fundamental/Sentiment,G2-FearGreedContrarian,vol,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.9,0.1529,-0.244,4,
Cat O: Tail Risk,O1-TailRiskParity,crisis,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.9,0.1626,-0.3291,4,Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat F: Crypto Crisis,F2-CryptoRecoverySurge,crisis,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.93,0.1269,-0.3911,4,
Cat D: Crash-Hedge (General),D2-CrashHedgeQQQ,crisis,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,0.94,0.1818,-0.2482,4,
Cat L: Volatility,L6-CrossAssetVolSignal,vol,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,1.01,0.1767,-0.3027,5,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat R: Regime Hardening,R4-AdaptiveRiskBudget,macro,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,1.02,0.1856,-0.3044,5,Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat F: Crypto Crisis,F2b-CryptoRecoverySurgeATR,crisis,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,1.07,0.156,-0.2396,4,
Cat R: Regime Hardening,R6-BondEquityHedge,macro,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,1.07,0.1738,-0.2679,4,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat MF: Multi-Frequency,MF2-MonthlyMacroRegime,systematic,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,1.24,0.222,-0.2643,5,Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Refresh pair universe with stability and half-life constraints. | Use stop-loss and spread-regime controls for divergence risk.
Ensemble,Ensemble-BestOfEach,peter,optimize_winner,researched_only,wave_5_optimize_winners,low_medium,>=0.05,1.33,0.2441,-0.1859,4,
