category,strategy,priority,sharpe,cagr,max_drawdown,crisis_non_negative_count,source_file,how_it_works,drivers_ranked,indicators,signal_families,pair_universe,research_refs,improvement_ideas
Cat L: Volatility,L9-VIXAdaptiveCarry,watch_and_rework,0.52,0.0587,-0.2956,2,src/financial_algo/strategies/volatility_strats.py,"Uses trend, carry, volatility with sma, ema, volatility, regime. Primary tradable universe proxy: broad ETF universe.",vol_driver:1.5 | trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4,sma | ema | volatility | regime,trend | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat MF: Multi-Frequency,MF4-WeeklyMeanReversion,watch_and_rework,0.52,0.0712,-0.3432,4,src/financial_algo/strategies/multi_freq.py,"Uses mean_reversion, carry with sma, rsi, zscore, volatility, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.5 | carry_driver:1.0 | vol_driver:0.5 | macro_driver:0.4,sma | rsi | zscore | volatility | regime,mean_reversion | carry,,"Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat C: War/Geopolitical,C4-ArmsRaceMomentum,watch_and_rework,0.53,0.0711,-0.2899,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,reversion_driver:0.2 | ml_driver:0.1,,,,,
Cat I: Momentum,I3-DualMomentum,watch_and_rework,0.54,0.0783,-0.322,4,src/financial_algo/strategies/momentum.py,"Uses trend, volatility with sma, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | vol_driver:1.5 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | volatility | momentum | regime,trend | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat J: Mean Reversion,J6-DriftReversalAlpha,watch_and_rework,0.54,0.0259,-0.1006,5,src/financial_algo/strategies/mean_reversion.py,"Uses trend, mean_reversion, carry, volatility with sma, ema, rsi, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.7 | reversion_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.6,sma | ema | rsi | volatility | momentum | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat F: Crypto Crisis,F1-CryptoFlightToQuality,watch_and_rework,0.55,0.0692,-0.3137,5,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat M: Macro,M5-RatesRegimeTrade,watch_and_rework,0.55,0.0734,-0.395,3,src/financial_algo/strategies/macro.py,"Uses trend, carry, macro_regime with sma, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4 | carry_driver:1.0,sma | momentum | regime,trend | carry | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat K: Factor,K3-SizeFactor,watch_and_rework,0.56,0.0879,-0.365,4,src/financial_algo/strategies/factor.py,"Uses trend, pairs_statarb, macro_regime with sma, ema, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4 | reversion_driver:0.2 | ml_driver:0.1,sma | ema | momentum | regime,trend | pairs_statarb | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Gatev, Goetzmann, Rouwenhorst (2006) - Pairs Trading | Do and Faff (2010) - Pairs Performance and Risks",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Refresh pair universe with stability and half-life constraints. | Use stop-loss and spread-regime controls for divergence risk.
Cat M: Macro,M4-CommodityMomentum,watch_and_rework,0.56,0.0863,-0.3667,4,src/financial_algo/strategies/macro.py,"Uses trend, carry with sma, ema, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | ema | momentum | regime,trend | carry,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat J: Mean Reversion,J1-SectorMeanReversion,watch_and_rework,0.57,0.0805,-0.3386,2,src/financial_algo/strategies/mean_reversion.py,"Uses trend, mean_reversion with sma, rsi, zscore, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | reversion_driver:1.5 | macro_driver:0.4,sma | rsi | zscore | momentum | regime,trend | mean_reversion,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat D: Crash-Hedge (General),D4-AdaptiveStopTrend,watch_and_rework,0.58,0.0703,-0.3141,3,src/financial_algo/strategies/crash_hedge.py,"Uses trend, mean_reversion, carry, volatility with sma, rsi, atr, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | reversion_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4,sma | rsi | atr | volatility | momentum | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M1b-DollarCarryScoreboard,watch_and_rework,0.59,0.0792,-0.2808,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat F: Crypto Crisis,F4-CryptoContagionHedge,optimize_winner,0.6,0.0599,-0.2149,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat I: Momentum,I4-MomentumVolScaled,watch_and_rework,0.6,0.0946,-0.2826,3,src/financial_algo/strategies/momentum.py,"Uses trend, carry, volatility with sma, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | volatility | momentum | regime,trend | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat R: Regime Hardening,R8-VolRegimeSwitcher,watch_and_rework,0.6,0.0836,-0.3658,3,src/financial_algo/strategies/regime_hardening.py,"Uses carry, volatility with sma, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",vol_driver:1.5 | carry_driver:1.0 | trend_driver:0.5 | macro_driver:0.4,sma | volatility | momentum | regime,carry | volatility,,"Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia | Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat R: Regime Hardening,R5-RatesTighteningAlpha,watch_and_rework,0.62,0.0885,-0.3041,3,src/financial_algo/strategies/regime_hardening.py,"Uses trend, macro_regime with momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4,momentum | regime,trend | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Ilmanen (2011) - Expected Returns | Ang (2014) - Asset Management: A Systematic Approach",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Use multi-signal scoreboards rather than single-threshold toggles. | Add explicit risk-off fallback assets with confidence weighting.
Cat D: Crash-Hedge (General),D1-FourStateTactical,watch_and_rework,0.63,0.1026,-0.323,2,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,reversion_driver:0.2 | ml_driver:0.1,,,,,
Cat M: Macro,M9-YieldCurveRegime,optimize_winner,0.65,0.1027,-0.3503,5,src/financial_algo/strategies/macro.py,"Uses trend, mean_reversion, carry, macro_regime with sma, ema, rsi, zscore, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | reversion_driver:1.5 | macro_driver:1.4 | carry_driver:1.0 | vol_driver:0.5,sma | ema | rsi | zscore | volatility | momentum | regime,trend | mean_reversion | carry | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat DL: Deep Learning,DL2-LSTMRegimeDetector,watch_and_rework,0.66,0.109,-0.3555,3,src/financial_algo/strategies/dl_strategies.py,"Uses trend, mean_reversion, carry, volatility, pairs_statarb, macro_regime, ml with sma, rsi, zscore, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | macro_driver:1.4 | ml_driver:1.1 | carry_driver:1.0,sma | rsi | zscore | volatility | momentum | regime,trend | mean_reversion | carry | volatility | pairs_statarb | macro_regime | ml,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M2-GoldDollarInverse,optimize_winner,0.68,0.112,-0.3383,5,src/financial_algo/strategies/macro.py,"Uses trend, macro_regime with ema, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4 | reversion_driver:0.2 | ml_driver:0.1,ema | momentum | regime,trend | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Ilmanen (2011) - Expected Returns | Ang (2014) - Asset Management: A Systematic Approach",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Use multi-signal scoreboards rather than single-threshold toggles. | Add explicit risk-off fallback assets with confidence weighting.
Cat N: Seasonal,N3-PreHolidayDrift,watch_and_rework,0.68,0.0717,-0.2737,2,src/financial_algo/strategies/seasonal.py,"Uses trend, carry with sma, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.2 | carry_driver:1.0 | macro_driver:0.6,sma | regime,trend | carry,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat L: Volatility,L8-VolRegimeClustering,watch_and_rework,0.7,0.1139,-0.3304,3,src/financial_algo/strategies/volatility_strats.py,"Uses carry, volatility, macro_regime with sma, volatility, regime. Primary tradable universe proxy: broad ETF universe.",vol_driver:1.5 | macro_driver:1.4 | carry_driver:1.0 | reversion_driver:0.2 | ml_driver:0.1,sma | volatility | regime,carry | volatility | macro_regime,,"Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia | Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat M: Macro,M1-DollarCarry,watch_and_rework,0.7,0.1027,-0.307,3,src/financial_algo/strategies/macro.py,"Uses trend, mean_reversion, carry, macro_regime with ema, rsi, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | reversion_driver:1.5 | macro_driver:1.4 | carry_driver:1.0,ema | rsi | momentum | regime,trend | mean_reversion | carry | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat MF: Multi-Frequency,MF1-WeeklyMomentumRotation,watch_and_rework,0.7,0.1247,-0.2748,3,src/financial_algo/strategies/multi_freq.py,"Uses trend, carry with sma, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | momentum | regime,trend | carry,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat R: Regime Hardening,R1-BearMarketAlpha,watch_and_rework,0.7,0.1068,-0.335,2,src/financial_algo/strategies/regime_hardening.py,"Uses trend, carry with sma, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4,sma | regime,trend | carry,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat MF: Multi-Frequency,MF3-MultiTimeframeTrend,watch_and_rework,0.71,0.108,-0.3117,2,src/financial_algo/strategies/multi_freq.py,"Uses trend, carry with sma, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | regime,trend | carry,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat G: Fundamental/Sentiment,G4-SentimentEnhancedRegime,watch_and_rework,0.72,0.1149,-0.2495,3,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,reversion_driver:0.2 | ml_driver:0.1,,,,,
Cat Q: Quality Trend,Q2-MultiAssetTrend,watch_and_rework,0.74,0.1232,-0.3552,3,src/financial_algo/strategies/quality_trend.py,"Uses trend, mean_reversion, carry, volatility with sma, rsi, volatility, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | vol_driver:1.5 | trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4 | ml_driver:0.1,sma | rsi | volatility | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat M: Macro,M10-MacroSignalScoreboard,optimize_winner,0.75,0.0927,-0.2425,5,src/financial_algo/strategies/macro.py,"Uses trend, volatility, pairs_statarb, macro_regime with ema, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | macro_driver:1.4 | vol_driver:1.0,ema | momentum | regime,trend | volatility | pairs_statarb | macro_regime,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat P: ML Signal Combo,P4-AdaptiveThreshold,watch_and_rework,0.75,0.1341,-0.3203,3,src/financial_algo/strategies/ml_strategies.py,"Uses trend, mean_reversion, carry, volatility, ml with sma, rsi, zscore, atr, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | ml_driver:1.1 | carry_driver:1.0 | macro_driver:0.4,sma | rsi | zscore | atr | volatility | momentum | regime,trend | mean_reversion | carry | volatility | ml,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat G: Fundamental/Sentiment,G5-CryptoSentimentDivergence,watch_and_rework,0.76,0.1163,-0.2943,2,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,,,,,,
Cat K: Factor,K2-MultiFactorComposite,watch_and_rework,0.77,0.131,-0.2976,3,src/financial_algo/strategies/factor.py,"Uses trend, carry, volatility with sma, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | volatility | momentum | regime,trend | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat G: Fundamental/Sentiment,G3-SentimentDivergence,watch_and_rework,0.78,0.1349,-0.3152,3,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,reversion_driver:0.2 | ml_driver:0.1,,,,,
Cat G: Fundamental/Sentiment,G1-SentimentCrisisAlpha,optimize_winner,0.79,0.1265,-0.363,4,unknown,Uses mixed signals with custom transforms. Primary tradable universe proxy: broad ETF universe.,reversion_driver:0.2 | ml_driver:0.1,,,,,
Cat N: Seasonal,N1-SeasonalStrategy,optimize_winner,0.79,0.1229,-0.2851,4,src/financial_algo/strategies/seasonal.py,"Uses trend, mean_reversion with rsi, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.5 | trend_driver:1.0 | macro_driver:0.4,rsi | regime,trend | mean_reversion,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat K: Factor,K4-ValueFactor,watch_and_rework,0.81,0.1458,-0.2536,3,src/financial_algo/strategies/factor.py,"Uses trend, carry, volatility with sma, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,sma | volatility | momentum | regime,trend | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size.
Cat P: ML Signal Combo,P1-FeatureComboSignal,watch_and_rework,0.83,0.1531,-0.355,3,src/financial_algo/strategies/signal_combo.py,"Uses trend, mean_reversion, carry, volatility with sma, ema, rsi, volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | trend_driver:1.5 | vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.4 | ml_driver:0.1,sma | ema | rsi | volatility | momentum | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat Q: Quality Trend,Q3-MomentumCrashFilter,watch_and_rework,0.83,0.1434,-0.3285,2,src/financial_algo/strategies/quality_trend.py,"Uses trend, volatility with volatility, momentum, regime. Primary tradable universe proxy: broad ETF universe.",trend_driver:1.5 | vol_driver:1.5 | macro_driver:0.4 | reversion_driver:0.2 | ml_driver:0.1,volatility | momentum | regime,trend | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
Cat K: Factor,K1-LowVolFactor,watch_and_rework,0.84,0.16,-0.2781,2,src/financial_algo/strategies/factor.py,"Uses trend, mean_reversion, carry, volatility with rsi, volatility, regime. Primary tradable universe proxy: broad ETF universe.",reversion_driver:1.7 | vol_driver:1.5 | trend_driver:1.0 | carry_driver:1.0 | macro_driver:0.4 | ml_driver:0.1,rsi | volatility | regime,trend | mean_reversion | carry | volatility,,"Moskowitz, Ooi, Pedersen (2012) - Time Series Momentum | Hurst, Ooi, Pedersen (2017) - A Century of Trend Following | Lehmann (1990) - Fads, Martingales, and Market Efficiency | Avellaneda, Lee (2010) - Statistical Arbitrage in US Equities",Add volatility scaling and turnover-aware rebalance cadence. | Use regime filter to reduce whipsaw in high-vol mean-reverting states. | Gate entries by spread/volatility regime and avoid trend breakout states. | Use adaptive z-score thresholds from rolling quantiles.
Cat L: Volatility,L5-VolSpikeRecovery,optimize_winner,0.84,0.0995,-0.182,4,src/financial_algo/strategies/volatility_strats.py,"Uses carry, volatility with sma, volatility, regime. Primary tradable universe proxy: broad ETF universe.",vol_driver:1.5 | carry_driver:1.0 | macro_driver:0.6 | trend_driver:0.2,sma | volatility | regime,carry | volatility,,"Koijen et al. (2018) - Carry | Baltas (2019) - Alternative Risk Premia | Carr, Wu (2009) - Variance Risk Premia | Israelov, Nielsen (2015) - Volatility Strategies",Add drawdown-aware de-risking and convex hedges in stress regimes. | Use term-structure slope confidence to modulate position size. | Blend carry and momentum in vol signals to avoid left-tail episodes. | Constrain gross exposure during abrupt vol-of-vol spikes.
